series_id,model_baseline,smape_baseline,avg_daily_demand,std_daily_demand,cv,model_ets,smape_ets,better_model
FOODS_1_085_CA_1_validation,seasonal_naive,0.5208388660656119,10.641923680083638,6.947792375399658,0.6528699676613686,ETS,0.4780235498336448,ETS
FOODS_1_218_CA_1_validation,seasonal_naive,0.7759138392175171,11.702561421850497,9.32535341094557,0.796864298918786,ETS,0.6179333462800216,ETS
FOODS_2_019_CA_1_validation,seasonal_naive,0.5082357045626552,18.46523784631469,10.984677858509082,0.5948841788004682,ETS,0.40024962320898644,ETS
FOODS_2_197_CA_1_validation,seasonal_naive,0.5915580921143035,21.27443805541035,12.736485166804886,0.5986755150780158,ETS,0.7589808178942794,Seasonal Naive
FOODS_2_244_CA_1_validation,seasonal_naive,0.8590704078226379,10.476215368531102,6.920014020020096,0.6605452226766235,ETS,0.5329424214207753,ETS
FOODS_2_276_CA_1_validation,seasonal_naive,0.3861805155285836,13.87401986408782,10.01120289806053,0.7215791089328203,ETS,0.450348566258764,Seasonal Naive
FOODS_2_347_CA_1_validation,seasonal_naive,0.8828255378360756,13.1019341348667,7.570488936820499,0.5778146076078846,ETS,0.605265007286591,ETS
FOODS_2_360_CA_1_validation,seasonal_naive,0.6553219468072632,12.924725561944589,12.686251752000143,0.981549022560131,ETS,0.5827630347876894,ETS
FOODS_3_064_CA_1_validation,seasonal_naive,0.2911168830977226,13.846837428123367,12.918762169288211,0.9329756507229613,ETS,0.23730521229387433,ETS
FOODS_3_080_CA_1_validation,seasonal_naive,0.4335491569372983,20.462624150548876,7.761668824606493,0.37930955305188474,ETS,0.27289983032315124,ETS
FOODS_3_090_CA_1_validation,seasonal_naive,0.3117600204522105,66.49398849973863,57.86232117493134,0.8701887564837067,ETS,0.5738018319856195,Seasonal Naive
FOODS_3_099_CA_1_validation,seasonal_naive,0.4371673518975009,17.35180345007841,7.916610241679844,0.45624135035264335,ETS,0.3911291957563909,ETS
FOODS_3_120_CA_1_validation,seasonal_naive,0.7269338550948791,32.35703084161003,33.54445894492141,1.0366976839981685,ETS,0.7503183810345984,Seasonal Naive
FOODS_3_202_CA_1_validation,seasonal_naive,0.3047016425264163,16.403031887088343,10.206043168764534,0.6222046773301819,ETS,0.2533029938681858,ETS
FOODS_3_252_CA_1_validation,seasonal_naive,0.3286026984827363,39.190277051751174,18.72363891899248,0.47776235134776146,ETS,0.18778469400786515,ETS
FOODS_3_281_CA_1_validation,seasonal_naive,0.6178987668311274,11.992681651855724,15.178986133926637,1.2656874051952338,ETS,0.6467816056593586,Seasonal Naive
FOODS_3_282_CA_1_validation,seasonal_naive,0.497657875627646,15.301620491374804,19.015642165181323,1.2427208061703545,ETS,0.6710291628457582,Seasonal Naive
FOODS_3_295_CA_1_validation,seasonal_naive,0.4495075800311374,14.677992681651856,11.606511560883282,0.7907424267546143,ETS,0.35330275548037016,ETS
FOODS_3_318_CA_1_validation,seasonal_naive,0.5086787377498989,17.052796654469418,22.111708445661357,1.2966617077967335,ETS,0.9731708295969733,Seasonal Naive
FOODS_3_319_CA_1_validation,seasonal_naive,1.760333950252823,14.863565081024568,14.28339496034384,0.9609669600040257,ETS,1.7632084407093362,Seasonal Naive
FOODS_3_329_CA_1_validation,seasonal_naive,0.45301008570594953,10.596968112911657,13.895799130696926,1.311299512230567,ETS,0.4251475159714492,ETS
FOODS_3_351_CA_1_validation,seasonal_naive,0.5701024479191248,10.171458442237324,8.94859101689945,0.8797746221861731,ETS,0.37308708238424587,ETS
FOODS_3_362_CA_1_validation,seasonal_naive,0.4042110337285728,11.200209095661265,14.191869613837854,1.2671075584351743,ETS,0.42746250827681215,Seasonal Naive
FOODS_3_377_CA_1_validation,seasonal_naive,0.4003178036125127,11.123366440146366,4.763051081687055,0.4282022985608265,ETS,0.30489292050742023,ETS
FOODS_3_389_CA_1_validation,seasonal_naive,0.4579094257163031,10.529534762153686,5.271329519059037,0.500623212052972,ETS,0.36116625461407426,ETS
FOODS_3_406_CA_1_validation,seasonal_naive,0.8573092841258593,10.436487192890748,9.601923327479096,0.9200340249370026,ETS,1.1159703468848607,Seasonal Naive
FOODS_3_491_CA_1_validation,seasonal_naive,0.43302647500041486,15.098274960794564,13.456413527174186,0.8912550310021295,ETS,0.43227643807524524,ETS
FOODS_3_501_CA_1_validation,seasonal_naive,0.5104083481763724,14.825927861996863,12.493534603637313,0.8426814639530951,ETS,0.38893894749790536,ETS
FOODS_3_541_CA_1_validation,seasonal_naive,1.1071428477678575,19.038159958180866,19.174002490556504,1.00713527581461,ETS,1.9518751853629628,Seasonal Naive
FOODS_3_555_CA_1_validation,seasonal_naive,0.2712411840790611,19.79665446941976,7.833915996970887,0.3957191860430197,ETS,0.1766361521607032,ETS
FOODS_3_586_CA_1_validation,seasonal_naive,0.22585101852460368,45.83951907997909,16.40064119379967,0.3577838842856663,ETS,0.1772779566642843,ETS
FOODS_3_587_CA_1_validation,seasonal_naive,0.5226952676797867,27.03450078410873,21.44772913909476,0.7933465945029982,ETS,0.5847779129927877,Seasonal Naive
FOODS_3_607_CA_1_validation,seasonal_naive,0.43740391247452964,13.98170412963931,14.51712953800763,1.0382947166540553,ETS,0.499193707822695,Seasonal Naive
FOODS_3_635_CA_1_validation,seasonal_naive,0.1428571425952381,18.129116570831155,19.171532300154617,1.057499532019429,ETS,1.9999999720189712,Seasonal Naive
FOODS_3_668_CA_1_validation,seasonal_naive,0.44325723947412904,10.395713538944067,4.58048918765582,0.44061325527010864,ETS,0.3438187963289231,ETS
FOODS_3_681_CA_1_validation,seasonal_naive,0.4342198013905418,17.21955044432828,16.563839174775737,0.9619205343779619,ETS,0.21720357184341518,ETS
FOODS_3_694_CA_1_validation,seasonal_naive,0.3251332906813694,15.19079979090434,6.741155606437903,0.4437656802004979,ETS,0.28015113018861987,ETS
FOODS_3_702_CA_1_validation,seasonal_naive,0.6639846208617761,11.357030841610037,10.407018771725786,0.9163503126568004,ETS,0.500680652428199,ETS
FOODS_3_714_CA_1_validation,seasonal_naive,0.37560588139995016,28.269733403031886,14.504558826776954,0.5130773118677726,ETS,0.31913175690864415,ETS
FOODS_3_723_CA_1_validation,seasonal_naive,0.5271299325254732,14.899111343439623,13.698133987258649,0.9193926847252056,ETS,0.7513834160214931,Seasonal Naive
FOODS_3_739_CA_1_validation,seasonal_naive,0.2637662255717027,11.442760062728699,13.276272252796389,1.1602333849887723,ETS,0.23714590371122737,ETS
FOODS_3_741_CA_1_validation,seasonal_naive,0.5263598911349685,18.47935180345008,13.711222123936377,0.7419752739355691,ETS,0.35692681837005386,ETS
FOODS_3_744_CA_1_validation,seasonal_naive,0.45870321966395217,12.195504443282802,6.973308396206543,0.5717933540936437,ETS,0.33255103758392857,ETS
FOODS_3_755_CA_1_validation,seasonal_naive,0.425718570210273,12.076842655514898,11.018947738909862,0.9124030215591176,ETS,0.36531460844122643,ETS
FOODS_3_764_CA_1_validation,seasonal_naive,0.5938012838451554,10.417145844223732,9.762319692705708,0.9371395801996456,ETS,0.516689917396988,ETS
FOODS_3_785_CA_1_validation,seasonal_naive,0.35714285696221854,13.388395190799791,23.903904794429447,1.785419718787617,ETS,1.9999999767151426,Seasonal Naive
FOODS_3_808_CA_1_validation,seasonal_naive,0.9285714262099358,24.095138525875587,24.4122401906008,1.0131603997317997,ETS,1.813512026864387,Seasonal Naive
HOBBIES_1_268_CA_1_validation,seasonal_naive,1.0972040800804719,9.881860951385258,13.903494725165508,1.4069712961450622,ETS,0.7042657631644381,ETS
HOBBIES_1_348_CA_1_validation,seasonal_naive,1.4369691892968326,11.889179299529534,13.999486429826666,1.1774981321549802,ETS,0.9439233630985033,ETS
HOBBIES_1_371_CA_1_validation,seasonal_naive,0.9602754930553482,11.811291165708312,12.33779435369329,1.044576259288892,ETS,0.8223503151297562,ETS
